ind_ID,sppcode,species_frac,admix_frac,lat,long,site,dist_from_rangeedge,sympspp_bin,sympspp_num,hab_suit
QUE001898_mue,F1,0.488558,0.511442,35.44085,-98.35471,HintonOK,22082.3578298544,Y,2,0.528997004032135
QUE001900_mac,mac,0.992859,0.00714099999999995,35.43874,-98.35495,HintonOK,52004.8332602543,Y,2,0.603188812732697
QUE001904_mac,mac,0.990366,0.00963399999999992,35.17705,-97.44921,NormanOK,126562.73361643,Y,2,0.720758020877838
QUE001912_mac,mac,0.99996,4.000000000004e-05,35.17722,-97.45003,NormanOK,126490.519765839,Y,2,0.720758020877838
QUE001920_alb,F1,0.489027,0.510973,34.80306,-92.32555,LittleRockAR,10549.0541859388,Y,3,0.504594445228577
QUE001922_mac,F1,0.499107,0.500893,34.8028,-92.32557,LittleRockAR,10520.3020199673,Y,3,0.313465893268585
QUE001923_ste,F1,0.528147,0.471853,34.80348,-92.3259,LittleRockAR,10591.0774037109,Y,3,0.664921224117279
QUE001924_mac,mac,0.99996,4.000000000004e-05,34.80377,-92.32698,LittleRockAR,10610.3963139515,Y,3,0.313465893268585
QUE001925_ste,F1,0.526049,0.473951,34.80427,-92.32652,LittleRockAR,10670.5650324499,Y,3,0.664921224117279
QUE001928_mac,mac,0.99996,4.000000000004e-05,34.80445,-92.32612,LittleRockAR,10694.9372407787,Y,3,0.313465893268585
QUE001929_mac,mac,0.99996,4.000000000004e-05,37.1574,-91.36496,EminenceMO,150371.038963971,Y,4,0.581730306148529
QUE001930_mue,mue,0.99995,4.99999999999945e-05,37.1574,-91.36496,EminenceMO,140262.393760919,Y,4,0.803578495979309
QUE001936_mac,mac,0.99996,3.9999999999929e-05,37.15758,-91.36513,EminenceMO,150396.058329637,Y,4,0.577578246593475
QUE001938_mue,mue,0.99995,4.99999999999945e-05,43.903,-91.63986,WinonaMN,27461.7754816283,Y,3,0.0762303099036217
QUE001943_alb,alb,0.99995,4.99999999999945e-05,43.89158,-91.64829,WinonaMN,121504.606304029,Y,3,0.622379243373871
QUE001959_mac,mac,0.999568,0.000432000000000099,49.71187,-95.24456,WhiteshellMB,95341.1553300495,N,0,0.626281082630157
QUE001969_mac,mac,0.99996,4.000000000004e-05,49.76055,-99.15844,SpruceWoodsMB,149105.942030796,N,0,0.539027571678162
QUE001980_mac,mac,0.99996,4.000000000004e-05,46.02383,-91.14557,RoundLakeWI,21463.3766729114,Y,1,0.707442224025726
QUE001985_mac,mac,0.992284,0.00771600000000006,46.0244,-91.12945,RoundLakeWI,20395.0792775949,Y,1,0.704577684402466
QUE002058_mac,mac,0.987491,0.012509,38.963586,-98.58906,MinookaKS,29390.5437347223,N,0,0.5048907995224
QUE002068_mac,mac,0.99996,4.000000000004e-05,38.842944,-97.588909,SalinaKS,45743.9443440596,Y,1,0.726357400417328
QUE002069_mac,mac,0.999952,4.8000000000048e-05,38.842944,-97.588909,SalinaKS,45743.9443440596,Y,1,0.726357400417328
QUE002072_mac,mac,0.99996,4.000000000004e-05,39.839311,-88.367745,ChickenbristleIL,320305.483291729,Y,4,0.724680423736572
QUE002073_mac,mac,0.99996,4.000000000004e-05,39.839311,-88.367745,ChickenbristleIL,320305.483291729,Y,4,0.724680423736572
QUE002076_mac,mac,0.99996,3.9999999999929e-05,39.839311,-88.367745,ChickenbristleIL,320305.483291729,Y,4,0.724680423736572
QUE002083_mac,mac,0.99996,4.000000000004e-05,37.51651,-89.44542,ShawneeIL,64521.1975124718,Y,4,0.624661266803741
QUE002084_mac,mac,0.99996,4.000000000004e-05,37.51726,-89.44584,ShawneeIL,64612.2788860619,Y,4,0.624661266803741
QUE002087_mac,mac,0.99996,3.9999999999929e-05,38.73603,-86.41255,SpringMillIN,255685.058291694,Y,4,0.530303299427032
QUE002096_mac,mac,0.99996,4.000000000004e-05,38.73833,-86.41346,SpringMillIN,255933.174000926,Y,4,0.530303299427032
QUE002099_mue,F1,0.414655,0.585345,40.45791,-85.50685,TaylorIN,252489.340586235,Y,3,0.651010870933533
QUE002106_mac,F1,0.505513,0.494487,40.45911,-85.50878,TaylorIN,257587.976891988,Y,3,0.694707334041595
QUE002109_alb,alb,0.99995,4.99999999999945e-05,40.45916,-85.50973,TaylorIN,444789.991764218,Y,3,0.635905146598816
QUE002110_mac,mac,0.979481,0.020519,41.53273,-87.2948,HobartIN,217455.81180723,Y,3,0.776525318622589
QUE002114_mac,mac,0.99996,4.000000000004e-05,41.53403,-87.29146,HobartIN,217205.08112696,Y,3,0.776525318622589
QUE002119_mac,mac,0.994861,0.005139,41.53239,-87.29708,HobartIN,217572.254556968,Y,3,0.777290344238281
QUE002124_alb,alb,0.999942,5.80000000000025e-05,41.65955,-87.06218,DunesIN,374948.489830913,Y,3,0.685680389404297
QUE002128_alb,alb,0.99995,4.99999999999945e-05,41.65947,-87.04994,DunesIN,375305.252767606,Y,3,0.688595533370972
QUE002132_mac,F1,0.411431,0.588569,42.1665869,-73.412025,BerkshireMA,1014.84044225488,Y,3,0.259757339954376
